Customer_ID,Customer_Name,Gender,DOB,City,Region_ID,Occupation,Income_Band,Customer_Segment,Join_Date
C000001,Customer 000001,Female,1996-08-10,Delhi,R002,Government Employee,High,Retail,2022-12-25
C000002,Customer 000002,Female,1991-04-04,Bengaluru,R004,Healthcare,Low,Corporate,2022-09-24
C000003,Customer 000003,Female,1996-06-01,Hyderabad,R004,Consultant,Low,Corporate,2023-01-04
C000004,Customer 000004,Female,2020-01-24,Jaipur,R002,Business Owner,High,Premium,2018-04-06
C000005,Customer 000005,Female,2025-06-15,Gurugram,R001,IT Professional,High,Retail,2022-05-14
C000006,Customer 000006,Male,1984-12-09,Delhi,R002,Government Employee,Medium,Corporate,2025-03-30
C000007,Customer 000007,Male,1997-04-22,Kolkata,R005,Business Owner,Medium,Retail,2022-05-05
C000008,Customer 000008,Male,2009-07-08,Faridabad,R005,Other,Medium,Retail,2022-09-29
C000009,Customer 000009,Female,2009-06-15,Mumbai,R006,Business Owner,Medium,Retail,2021-06-29
C000010,Customer 000010,Female,1982-03-18,Pune,R005,Healthcare,Medium,Corporate,2021-11-03
C000011,Customer 000011,Female,2016-03-21,Chennai,R004,Finance,Medium,Retail,2023-07-20
C000012,Customer 000012,Male,2026-02-08,Kolkata,R006,Other,Medium,Corporate,2025-07-21
C000013,Customer 000013,Male,1995-04-10,Ahmedabad,R004,Other,Medium,Retail,2022-10-03
C000014,Customer 000014,Female,2027-01-23,Mumbai,R001,Education,Very High,Corporate,2023-04-07
C000015,Customer 000015,Male,2015-10-16,Bengaluru,R003,Healthcare,Medium,Retail,2026-03-18
C000016,Customer 000016,Female,2004-03-20,Gurugram,R002,Consultant,Medium,Retail,2025-10-05
C000017,Customer 000017,Female,2026-08-01,Kolkata,R003,Education,Medium,Retail,2025-08-27
C000018,Customer 000018,Male,2001-10-13,Lucknow,R004,Business Owner,Medium,Corporate,2018-01-18
C000019,Customer 000019,Male,1998-07-04,Chennai,R002,Healthcare,Medium,Retail,2019-11-01
C000020,Customer 000020,Male,1989-10-17,Kolkata,R004,Engineer,Medium,Retail,2023-07-24
C000021,Customer 000021,Male,1981-08-12,Bengaluru,R001,Healthcare,Low,Retail,2020-12-11
C000022,Customer 000022,Female,1986-08-03,Faridabad,R006,Finance,Medium,Retail,2021-06-29
C000023,Customer 000023,Female,1982-12-11,Jaipur,R002,Business Owner,Medium,Retail,2019-05-19
C000024,Customer 000024,Male,1996-01-10,Ahmedabad,R004,Self Employed,Low,Corporate,2020-04-19
C000025,Customer 000025,Male,1992-07-02,Hyderabad,R005,Healthcare,High,Retail,2020-10-10
C000026,Customer 000026,Male,2020-05-20,Delhi,R005,IT Professional,High,Retail,2026-02-20
C000027,Customer 000027,Male,2010-01-22,Chennai,R004,Government Employee,Low,Corporate,2020-09-30
C000028,Customer 000028,Female,1990-12-27,Pune,R003,Engineer,Very High,Premium,2023-08-07
C000029,Customer 000029,Female,2003-10-27,Lucknow,R006,Other,Medium,Corporate,2019-10-19
C000030,Customer 000030,Female,1988-02-22,Kolkata,R001,Self Employed,Medium,Retail,2025-05-30
C000031,Customer 000031,Female,2013-11-24,Chennai,R001,Finance,Low,Retail,2018-07-03
C000032,Customer 000032,Female,2004-03-16,Jaipur,R004,Healthcare,High,Premium,2022-12-13
C000033,Customer 000033,Female,2005-10-11,Ahmedabad,R001,Unknown,Medium,Corporate,2022-09-23
C000034,Customer 000034,Female,1995-11-13,Bengaluru,R002,Self Employed,Low,Retail,2025-03-23
C000035,Customer 000035,Male,2005-11-18,Hyderabad,R001,Unknown,Low,Corporate,2018-12-22
C000036,Customer 000036,Female,2018-03-10,Faridabad,R005,Engineer,Medium,Retail,2023-07-17
C000037,Customer 000037,Male,1979-05-15,Faridabad,R004,Business Owner,High,Premium,2021-10-12
C000038,Customer 000038,Male,1981-04-24,Chennai,R002,Business Owner,High,Corporate,2021-06-18
C000039,Customer 000039,Male,1982-03-07,Pune,R001,Consultant,Medium,Retail,2018-01-13
C000040,Customer 000040,Female,1980-03-29,Delhi,R005,Self Employed,High,Premium,2021-09-14
C000041,Customer 000041,Female,2025-05-21,Delhi,R006,Self Employed,High,Retail,2022-11-09
C000042,Customer 000042,Female,1991-10-04,Faridabad,R003,Consultant,Medium,Corporate,2025-11-19
C000043,Customer 000043,Female,2014-10-02,Faridabad,R001,IT Professional,Medium,Retail,2026-03-12
C000044,Customer 000044,Male,2023-03-18,Hyderabad,R005,Education,Low,Corporate,2022-02-18
C000045,Customer 000045,Female,1983-10-02,Lucknow,R006,Engineer,High,Retail,2023-02-06
C000046,Customer 000046,Male,1987-12-02,Gurugram,R006,Other,High,Premium,2022-06-21
C000047,Customer 000047,Female,2013-07-03,Pune,R005,Finance,Medium,Retail,2018-06-01
